Data Year,ID,Property Name,Reporting Status,Address,ZIP Code,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location,Row_ID,Building Age
2020,232458,Harper Square Cooperative,Submitted Data,4800 - 4850 S Lake Park Ave,60615,1.0,False,KENWOOD,Multifamily Housing,627680.0,1974.0,1.0,22.0,16397682.8,43537490.6,95.5,146.0,100.3,150.7,4871.7,7.8,41.80747487,-87.59126397,"(41.80747487, -87.59126397)",2020-232458,46.0
2020,254616,Former Coyne College,Submitted Data,330 N Green St,60607,2.0,False,NEAR WEST SIDE,Office,555524.0,2019.0,1.0,49.0,28606427.7,2199940.1,55.5,148.3,56.7,151.8,4581.4,8.2,41.873335,-87.65102071,"(41.873335, -87.65102071)",2020-254616,1.0
2020,103812,400 W Superior St,Submitted Data,400 W Superior St,60654,3.0,False,NEAR NORTH SIDE,Office,130007.0,1998.0,1.0,61.0,6489281.3,1493523.2,61.4,151.8,63.0,154.8,1092.1,8.4,41.89575232,-87.638901,"(41.89575232, -87.638901)",2020-103812,22.0
2020,254073,Blue Moon Lofts,Submitted Data,215 N. Aberdeen St.,60607,4.0,False,NEAR WEST SIDE,Multifamily Housing,83000.0,1908.0,1.0,100.0,1614582.3,825006.6,29.4,64.9,29.6,64.3,295.8,3.6,41.87429514,-87.65017516,"(41.87429514, -87.65017516)",2020-254073,112.0
2020,254385,"Ambulatory Care Center, St. Bernard Hospital",Submitted Data,6307 S STEWART AVE,60621,2.5,False,Englewood,Medical Office,98018.0,2016.0,1.0,59.0,4204723.5,2236782.3,96.7,211.9,98.0,212.8,775.0,11.6,41.77391183,-87.63872071,"(41.77391183, -87.63872071)",2020-254385,4.0
2020,157607,Hilliard Homes Limited Partnership (Senior),Submitted Data,2111 S Clark Ave,60616,3.5,False,NEAR SOUTH SIDE,Multifamily Housing,311326.0,1966.0,2.0,75.0,4993793.0,15777294.8,80.1,117.8,82.9,120.3,1617.4,6.2,41.853983,-87.630083,"(41.853983, -87.630083)",2020-157607,54.0
2020,254329,901 South Plymouth Condominium Association,Submitted Data,901 S Plymouth Ct,60605,3.5,False,Loop,Multifamily Housing,199600.0,1979.0,1.0,58.0,5821462.7,4643106.7,64.7,131.0,68.7,139.8,1155.2,7.1,41.8682103,-87.62733,"(41.8682103, -87.62733)",2020-254329,41.0
2020,129621,Chalet Living and Rehab,Submitted Data,7350 7352 N SHERIDAN RD,60626,1.0,False,ROGERS PARK,Senior Living Community,77004.0,1976.0,1.0,7.0,3786934.1,11175808.0,223.3,333.4,238.0,347.3,1184.6,17.7,42.01036185,-87.66829765,"(42.01036185, -87.66829765)",2020-129621,44.0
2020,251757,"Thorp Scholastic Academy, Ole A -CPS",Submitted Data,6024 W Warwick Ave,60634,4.0,False,DUNNING,K-12 School,93200.0,1918.0,1.0,61.0,1246831.5,5832379.9,76.0,103.2,86.5,114.3,504.4,5.4,41.94895308,-87.77785435,"(41.94895308, -87.77785435)",2020-251757,102.0
2020,250165,River East Center Campus,Submitted Data,322 E Illinois St,60611,1.0,False,NEAR NORTH SIDE,Mixed Use Property,1975361.0,2001.0,1.0,20.0,64410587.3,102156516.4,110.2,190.3,111.5,191.4,15478.5,10.2,41.8914469,-87.61889748,"(41.8914469, -87.61889748)",2020-250165,19.0
